what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948603334
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948603784
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948605032
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948653694
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948654646
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948704551
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1372948710405
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948710887
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948711336
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948712085
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948713048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948714120
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948715693
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948716514
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948783276
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948784246
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948784744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948785218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948785568
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948786123
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948794478
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948794950
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948934453
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372948935412
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1372948939270
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1372948944391
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1372948944392
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1372948944402
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1372948944403
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948946832
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948947452
started,bundle,org.eclipse.jst.jee.ui,1.0.400.v201105122000,"org.eclipse.jst.jee.ui",1372948951556
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948951792
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1372948976893
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948976914
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372948977292
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1372948977750
started,bundle,org.eclipse.jst.j2ee.ui,1.1.501.v201108231700,"org.eclipse.jst.j2ee.ui",1372948979284
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372948987387
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1372949031201
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949031219
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372949031904
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1372949045078
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.503.v201108102200,"org.eclipse.jst.j2ee.ejb",1372949045512
started,bundle,org.eclipse.jst.j2ee.jca,1.1.500.v201108102200,"org.eclipse.jst.j2ee.jca",1372949045516
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1372949045522
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1372949045523
started,bundle,org.eclipse.xsd,2.7.0.v20110606-0949,"org.eclipse.xsd",1372949045618
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949046949
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949050069
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1372949052582
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1372949055862
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.closeProject",1372949055863
started,bundle,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui",1372949055865
closed,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1372949056182
closed,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1372949056221
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372949056260
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372949056341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949061003
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.200.v201103311536,"org.eclipse.wst.common.project.facet.ui",1372949063695
started,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1372949063696
started,bundle,org.eclipse.jst.servlet.ui,1.1.501.v201108220630,"org.eclipse.jst.servlet.ui",1372949063700
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.200.v201008182133,"org.eclipse.jst.common.project.facet.ui",1372949064029
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1372949083012
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1372949083019
started,bundle,org.eclipse.emf.edit,2.7.1.v20110913-1526,"org.eclipse.emf.edit",1372949083092
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20110913-1156,"org.eclipse.emf.common.ui",1372949083107
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20110913-1156,"org.eclipse.emf.edit.ui",1372949083108
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1372949083109
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1372949083128
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.501.v201107261503,"org.eclipse.jst.j2ee.navigator.ui",1372949083154
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1372949083177
opened,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1372949083313
