what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.run",1372949482078
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1372949482648
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1372949483588
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1372949483686
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1372949483797
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1372949484406
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1372949485961
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949486659
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949487609
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1372949489898
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1372949494501
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372949495589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949501554
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1372949503235
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949503253
error,log,,,"JavaBuilder handling CoreException while cleaning: 5isbook",1372949503524
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1372949503667
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: 5isbook",1372949511597
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372949530703
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1372949532690
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949537276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949553096
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949553947
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949554514
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949555243
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949567025
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372949567645
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949585828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1372949609671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949609693
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1372949616226
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1372949619555
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1372949619597
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1372949619617
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1372949620268
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949625563
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1372949626101
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1372949626108
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1372949653941
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949653976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949658678
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949659198
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949660072
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949661915
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949664524
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949665295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949666075
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949690945
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1372949693968
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1372949696441
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1372949698323
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.run",1372949699380
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1372949700140
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1372949701695
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1372949703790
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949726974
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372949727993
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372949756644
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1372949767356
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372949780506
